word_us,word_gb,lexical_category,cefr,definition_url_oxford,definition_url_cambridge,ipa_us,ipa_gb,definition,example,audio_source_us,audio_source_gb
accident,accident,noun,a2,https://www.oxfordlearnersdictionaries.com/definition/english/accident,https://dictionary.cambridge.org/dictionary/english/accident,"[""/ˈæksɪdənt/""]","[""/ˈæksɪdənt/""]","an unpleasant event, especially in a vehicle, that happens unexpectedly and causes injury or damage",a car/road/traffic accident,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accid/accident__us_2_rr.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accid/accident__gb_2.ogg""]"
accidentally,accidentally,adverb,b2,https://www.oxfordlearnersdictionaries.com/definition/english/accidentally,https://dictionary.cambridge.org/dictionary/english/accidentally,"[""/ˌæksɪˈdentəli/""]","[""/ˌæksɪˈdentəli/""]",by chance; in a way that was not planned,"As I turned around, I accidentally hit him in the face.","[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accid/accidentally__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accid/accidentally__gb_1.ogg""]"
accommodate,accommodate,verb,b2,https://www.oxfordlearnersdictionaries.com/definition/english/accommodate,https://dictionary.cambridge.org/dictionary/english/accommodate,"[""/əˈkɑːmədeɪt/""]","[""/əˈkɒmədeɪt/""]","to provide somebody with a room or place to sleep, live or sit",The hotel can accommodate up to 500 guests.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accommodate__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accom/accommodate__gb_1.ogg""]"
accommodation,accommodation,noun,b1,https://www.oxfordlearnersdictionaries.com/definition/english/accommodation,https://dictionary.cambridge.org/dictionary/english/accommodation,"[""/əˌkɑːməˈdeɪʃn/""]","[""/əˌkɒməˈdeɪʃn/""]","a place to live, work or stay in",rented/temporary accommodation,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accommodation__us_2.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accom/accommodation__gb_2.ogg""]"
accompany,accompany,verb,b2,https://www.oxfordlearnersdictionaries.com/definition/english/accompany,https://dictionary.cambridge.org/dictionary/english/accompany,"[""/əˈkʌmpəni/""]","[""/əˈkʌmpəni/""]",to travel or go somewhere with somebody/something,His wife accompanied him on the trip.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accompany__us_2.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accom/accompany__gb_1.ogg""]"
accomplish,accomplish,verb,b2,https://www.oxfordlearnersdictionaries.com/definition/english/accomplish,https://dictionary.cambridge.org/dictionary/english/accomplish,"[""/əˈkɑːmplɪʃ/""]","[""/əˈkʌmplɪʃ/""]",to succeed in doing or completing something,The first part of the plan has been safely accomplished.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accomplish__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accom/accomplish__gb_1.ogg""]"
accomplishment,accomplishment,noun,c1,https://www.oxfordlearnersdictionaries.com/definition/english/accomplishment,https://dictionary.cambridge.org/dictionary/english/accomplishment,"[""/əˈkɑːmplɪʃmənt/""]","[""/əˈkʌmplɪʃmənt/""]",an impressive thing that is done or achieved after a lot of work,It was one of the President's greatest accomplishments.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accomplishment__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accom/accomplishment__gb_1.ogg""]"
accordance,accordance,noun,c1,https://www.oxfordlearnersdictionaries.com/definition/english/accordance,https://dictionary.cambridge.org/dictionary/english/accordance,"[""/əˈkɔːrdns/""]","[""/əˈkɔːdns/""]",according to a rule or the way that somebody says that something should be done,in accordance with legal requirements,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/accordance__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accor/accordance__gb_1.ogg""]"
according to,according to,preposition,a2,https://www.oxfordlearnersdictionaries.com/definition/english/according-to,https://dictionary.cambridge.org/dictionary/english/according-to,"[""/əˈkɔːrdɪŋ tə/"", ""/əˈkɔːrdɪŋ tu/""]","[""/əˈkɔːdɪŋ tə/"", ""/əˈkɔːdɪŋ tu/""]",as stated or reported by somebody/something,"According to Mick, it's a great movie.","[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/according_to_1_us_3.ogg"", ""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/according_to_1_us_2.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accor/according_to_1_gb_1.ogg"", ""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accor/according_to_1_gb_3.ogg""]"
accordingly,accordingly,adverb,c1,https://www.oxfordlearnersdictionaries.com/definition/english/accordingly,https://dictionary.cambridge.org/dictionary/english/accordingly,"[""/əˈkɔːrdɪŋli/""]","[""/əˈkɔːdɪŋli/""]",in a way that is appropriate to what has been done or said in a particular situation,We have to discover his plans and act accordingly.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/accordingly__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accor/accordingly__gb_1.ogg""]"
account,account,noun,b1,https://www.oxfordlearnersdictionaries.com/definition/english/account_1,https://dictionary.cambridge.org/dictionary/english/account,"[""/əˈkaʊnt/""]","[""/əˈkaʊnt/""]","an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc.",I don't have a bank account .,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/account__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accou/account__gb_1.ogg""]"
account,account,verb,b2,https://www.oxfordlearnersdictionaries.com/definition/english/account_2,https://dictionary.cambridge.org/dictionary/english/account,"[""/əˈkaʊnt/""]","[""/əˈkaʊnt/""]",to have the opinion that somebody/something is a particular thing,In English law a person is accounted innocent until they are proved guilty.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/account__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accou/account__gb_1.ogg""]"
accountability,accountability,noun,c1,https://www.oxfordlearnersdictionaries.com/definition/english/accountability,https://dictionary.cambridge.org/dictionary/english/accountability,"[""/əˌkaʊntəˈbɪləti/""]","[""/əˌkaʊntəˈbɪləti/""]",the fact of being responsible for your decisions or actions and expected to explain them when you are asked,proposals for greater police accountability,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountability__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accou/accountability__gb_1.ogg""]"
accountable,accountable,adjective,c1,https://www.oxfordlearnersdictionaries.com/definition/english/accountable,https://dictionary.cambridge.org/dictionary/english/accountable,"[""/əˈkaʊntəbl/""]","[""/əˈkaʊntəbl/""]",responsible for your decisions or actions and expected to explain them when you are asked,The state spends taxpayers’ money and should be held accountable .,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountable__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accou/accountable__gb_2.ogg""]"
accountant,accountant,noun,b2,https://www.oxfordlearnersdictionaries.com/definition/english/accountant,https://dictionary.cambridge.org/dictionary/english/accountant,"[""/əˈkaʊntənt/""]","[""/əˈkaʊntənt/""]",a person whose job is to keep or check financial accounts,We talked to the company’s chief accountant.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountant__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accou/accountant__gb_1.ogg""]"
accounting,accounting,noun,b2,https://www.oxfordlearnersdictionaries.com/definition/english/accounting,https://dictionary.cambridge.org/dictionary/english/accounting,"[""/əˈkaʊntɪŋ/""]","[""/əˈkaʊntɪŋ/""]",the process or work of keeping financial accounts,a career in accounting,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accounting__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accou/accounting__gb_1.ogg""]"
accumulate,accumulate,verb,c1,https://www.oxfordlearnersdictionaries.com/definition/english/accumulate,https://dictionary.cambridge.org/dictionary/english/accumulate,"[""/əˈkjuːmjəleɪt/""]","[""/əˈkjuːmjəleɪt/""]",to gradually get more and more of something over a period of time,I seem to have accumulated a lot of books.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accum/accumulate__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accum/accumulate__gb_2.ogg""]"
accumulation,accumulation,noun,c1,https://www.oxfordlearnersdictionaries.com/definition/english/accumulation,https://dictionary.cambridge.org/dictionary/english/accumulation,"[""/əˌkjuːmjəˈleɪʃn/""]","[""/əˌkjuːmjəˈleɪʃn/""]",the process of gradually increasing or getting more and more of something over a period of time,the accumulation of wealth,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accum/accumulation__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accum/accumulation__gb_1.ogg""]"
