word,cefr,pos,list,definition,example,phonetic,audio_url,source,audio_source
guest,a2,noun,oxford_3000_5000,a person that you have invited to your house or to a particular event that you are paying for,They only use the dining room when they have guests.,/ɡest/,data/audio/oxford/guest__us_1.ogg,oxford,oxford
guidance,c1,noun,oxford_3000_5000,"help or advice that is given to somebody, especially by somebody older or with more experience",guidance for teachers on how to use video in the classroom,/ˈɡaɪdns/,data/audio/oxford/guidance__us_1.ogg,oxford,oxford
guide,a2,noun,oxford_3000_5000,"a person who shows other people the way to a place, especially somebody employed to show tourists around interesting places",Our tour guide showed us around the old town.,/ɡaɪd/,data/audio/oxford/guide__us_1.ogg,oxford,oxford
guide,a2,verb,oxford_3000_5000,"to show somebody the way to a place, often by going with them; to show somebody a place that you know well","guide somebody, It's a dangerous route—you'll need someone to guide you.",/ɡaɪd/,data/audio/oxford/guide__us_1.ogg,oxford,oxford
guideline,b2,noun,oxford_3000_5000,"a set of rules or instructions that are given by an official organization telling you how to do something, especially something difficult",The government has drawn up guidelines for schools during the pandemic.,/ˈɡaɪdlaɪn/,data/audio/oxford/guideline__us_1.ogg,oxford,oxford
guilt,c1,noun,oxford_3000_5000,the unhappy feelings caused by knowing or thinking that you have done something wrong,She had feelings of guilt about leaving her children and going to work.,/ɡɪlt/,data/audio/oxford/guilt__us_1.ogg,oxford,oxford
guilty,b1,adjective,oxford_3000_5000,feeling ashamed because you have done something that you know is wrong or have not done something that you should have done,Matt and Chrissy both looked equally guilty.,/ˈɡɪlti/,data/audio/oxford/guilty__us_2.ogg,oxford,oxford
guitar,a1,noun,oxford_3000_5000,a musical instrument that usually has six strings and that you play with your fingers or with a plectrum,an acoustic/electric guitar,/ɡɪˈtɑː(r)/,data/audio/oxford/guitar__us_2.ogg,oxford,oxford
gun,a2,noun,oxford_3000_5000,a weapon that is used for firing bullets or shells,I have never fired a gun in my life.,/ɡʌn/,data/audio/oxford/gun__us_1.ogg,oxford,oxford
gut,c1,noun,oxford_3000_5000,the tube in the body through which food passes when it leaves the stomach,It can take up to 72 hours for food to pass through the gut.,/ɡʌt/,data/audio/oxford/gut__us_1.ogg,oxford,oxford
guy,a2,noun,oxford_3000_5000,a man,a big/little guy,/ɡaɪ/,data/audio/oxford/guy__us_1.ogg,oxford,oxford
gym,a1,noun,oxford_3000_5000,"a room or hall with equipment for doing physical exercise, for example in a school",The school has recently built a new gym.,/dʒɪm/,data/audio/oxford/gym__us_1.ogg,oxford,oxford
habit,a2,noun,oxford_3000_5000,"a thing that you do often and almost without thinking, especially something that is hard to stop doing",You need to change your eating habits.,/ˈhæbɪt/,data/audio/oxford/habit__us_1.ogg,oxford,oxford
habitat,b2,noun,oxford_3000_5000,the place where a particular type of animal or plant is normally found,The panda's natural habitat is the bamboo forest.,/ˈhæbɪtæt/,data/audio/oxford/habitat__us_1.ogg,oxford,oxford
hail,c1,verb,oxford_3000_5000,"to describe somebody/something as being very good or special, especially in newspapers, etc.","be hailed (as) something, The conference was hailed as a great success.",/heɪl/,data/audio/oxford/hail__us_1.ogg,oxford,oxford
hair,a1,noun,oxford_3000_5000,the substance that looks like a mass of fine threads growing on a person's head,She has long dark hair.,/heə(r)/,data/audio/oxford/hair__us_1.ogg,oxford,oxford
half,a2,adverb,oxford_3000_5000,to the extent of half,The glass was half full.,/hɑːf/,data/audio/oxford/half__us_1.ogg,oxford,oxford
